fit_target,order,phase_chart,jet_chart,chart_scale,n,visible_table_r2_mean,visible_table_r2_std,visible_table_r2_min,visible_table_r2_max,visible_target_r2_mean,visible_target_r2_std,visible_target_r2_min,visible_target_r2_max,full_table_r2_mean,full_table_r2_std,full_table_r2_min,full_table_r2_max,full_visible_gap_mean,full_visible_gap_std,full_visible_gap_min,full_visible_gap_max,heldout_rms_mean,heldout_rms_std,heldout_rms_min,heldout_rms_max,extended_outer_pred_rms_mean,extended_outer_pred_rms_std,extended_outer_pred_rms_min,extended_outer_pred_rms_max,extended_outer_max_abs_mean,extended_outer_max_abs_std,extended_outer_max_abs_min,extended_outer_max_abs_max,condition_number_mean,condition_number_std,condition_number_min,condition_number_max,effective_rank_mean,effective_rank_std,effective_rank_min,effective_rank_max,coeff_norm_mean,coeff_norm_std,coeff_norm_min,coeff_norm_max,phase_grad_mean_full_mean,phase_grad_mean_full_std,phase_grad_mean_full_min,phase_grad_mean_full_max,phase_grad_mean_ext_mean,phase_grad_mean_ext_std,phase_grad_mean_ext_min,phase_grad_mean_ext_max,num_features_mean,num_features_std,num_features_min,num_features_max
axis_plus_residual,1,asinh,bounded,16.0,48,0.9326222741187721,0.04079829490361848,0.799940092764154,0.9904104535361287,0.8046034656394302,0.05335575960068931,0.6499457543568361,0.8992460357687049,-804.3018995962881,3517.5371690284896,-24140.77273295071,0.7220007825751916,-805.2345218704069,3517.5274908837505,-24141.648578887212,-0.24293106254872998,0.530725990339196,0.9860963856734017,0.02241299223890139,6.271501251659077,0.759206685592336,1.2807172351990972,0.02975420991512982,8.048932545003954,2.167903664465289,3.1909790485531597,0.08320467073851377,18.508647126389842,2495536132253.405,95958980179.6847,2278053383071.026,2747700238599.668,41.97367757002217,2.979438101405474,34.978365624285665,47.40200635542443,1.9155874244286801,3.271130969399431,0.07048009102629628,20.57569573425246,0.9667082177043299,0.0,0.9667082177043299,0.9667082177043299,0.8759811678340105,0.0,0.8759811678340105,0.8759811678340105,103.0,0.0,103.0,103.0
axis_plus_residual,1,asinh,bounded,2.0,48,0.9438368288611875,0.032499836071433134,0.8690169344765616,0.9858613608535163,0.8293643632359643,0.06222281159525908,0.6307182840971068,0.9363730671811166,-32.27693066571866,89.82596401442063,-578.6342185379923,0.4017761488546535,-33.220767494579846,89.81625745058044,-579.5417018337977,-0.5396079447632403,0.1983361570136606,0.16536763266791546,0.03293962162173508,0.9717201884776464,1.460969493418003,3.1352142325717636,0.07763362411524255,20.85622582259282,4.445399203686395,9.912194007966937,0.241162770436113,66.91837962161803,2931171694750.533,198576899614.28595,2474359588453.2427,3375079701891.308,35.84479150500247,4.0093370029613045,25.4790418765304,41.86919777272467,9.19446059483748,18.631383671852088,0.29324371800337434,121.00738943127783,0.5421049778906628,0.0,0.5421049778906628,0.5421049778906628,0.34026248320302793,5.551115123125783e-17,0.340262483203028,0.340262483203028,103.0,0.0,103.0,103.0
axis_plus_residual,1,asinh,bounded,4.0,48,0.9350936924869891,0.040053483913842204,0.8254527196299479,0.9857577744547553,0.8084626268136477,0.06777556126767169,0.5923907877211942,0.9056724071142793,-287.85844648581696,1438.7738386645942,-9954.681628283042,0.8069499963410782,-288.793540178304,1438.7649735964726,-9955.562376683092,-0.1706259058162417,0.31556293228911086,0.6157896083314688,0.037274285844055885,4.0273690609662225,1.2514613783747088,2.6417833393851295,0.04285786921084475,16.788029391719864,3.149943955980648,6.018091719991106,0.10868010535694184,37.46922380842039,2664844595647.512,146191602085.1684,2404160723102.1743,2970814074918.2456,40.870648493525586,3.501822757896677,31.36852575576184,45.86023221893939,2.8678510242002964,5.8064337402674955,0.13290583488298396,36.7028314332555,0.7396280872624378,1.1102230246251565e-16,0.7396280872624377,0.7396280872624377,0.5150866347764183,0.0,0.5150866347764183,0.5150866347764183,103.0,0.0,103.0,103.0
axis_plus_residual,1,asinh,bounded,8.0,48,0.933976384827131,0.04021352232652641,0.8068895976560029,0.9896696361437208,0.8080821235391137,0.05477459676530982,0.6522273656882596,0.8914625301214061,-613.0853208851961,2914.460661237089,-20082.664103626317,0.7413917263055017,-614.0192972700232,2914.451197964928,-20083.540126120748,-0.2223920452574144,0.4412075803966338,0.8812133563024055,0.024012301526398636,5.720161067610378,0.8890368542347279,1.6276766956068007,0.028723275183932834,10.108403758822083,2.279118920032003,3.7160284528365928,0.08204598081579181,22.19165712038358,2525601031959.302,112321382758.69243,2288894203535.311,2830255242881.714,42.00468827666469,3.059603958975932,34.097141934304794,47.05742014641989,1.9772478829273208,3.6415313378090364,0.07887541035885616,22.964332713931327,0.8925002325519903,0.0,0.8925002325519903,0.8925002325519903,0.7133834848743236,0.0,0.7133834848743236,0.7133834848743236,103.0,0.0,103.0,103.0
axis_plus_residual,1,asinh,raw,16.0,48,0.9325480613141961,0.04088127680972057,0.7994885470837392,0.9904005305513685,0.8044368454602301,0.053379278537650954,0.6499648710624539,0.8991417784865324,-859.747510199741,3751.325887764138,-25732.836882120584,0.7188689724005624,-860.6800582610549,3751.3161847028578,-25733.71253595644,-0.24606758153723696,0.5482216050129901,1.019522204584147,0.022689633508125848,6.474992239777882,0.8224383193675856,1.3875175554782029,0.03223512421105415,8.709964387812065,2.366124386832177,3.530549957551794,0.08988904769446483,20.60395830755742,2497368818904.8926,95895923622.80107,2279904180133.723,2751422816168.5537,41.94739633833414,2.980628730549881,34.950029720757605,47.38013060008464,1.9504605376025512,3.3325236177995587,0.07074662674953522,20.932052219283765,0.9667082177043299,0.0,0.9667082177043299,0.9667082177043299,0.8759811678340105,0.0,0.8759811678340105,0.8759811678340105,103.0,0.0,103.0,103.0
axis_plus_residual,1,asinh,raw,2.0,48,0.9396990958957687,0.03497901647902761,0.8620404544108513,0.9838867858224263,0.818424857026747,0.061559618803647825,0.6254337133224103,0.9286726888576411,-59.43355368735021,88.32724332202478,-447.5272556391362,-0.6734984156339665,-60.37325278324598,88.31526097329504,-448.4655845783189,-1.6507585946533916,0.33552880740238517,0.24276170623331875,0.061794913927918936,0.9852899421162581,3.4806459144606756,3.9310149103181278,0.30744235410261295,22.20884650340409,11.491774960349671,12.580531677096355,0.7547355075524739,57.986995178613114,2969098007675.6797,195199763888.8347,2521273321327.8506,3394735476959.6094,35.0852701897193,3.9595646815529637,24.94253004368837,41.02412720194736,15.597868760506847,16.570360729772045,0.7545723447934006,64.63767062885782,0.5421049778906628,0.0,0.5421049778906628,0.5421049778906628,0.34026248320302793,5.551115123125783e-17,0.340262483203028,0.340262483203028,103.0,0.0,103.0,103.0
axis_plus_residual,1,asinh,raw,4.0,48,0.934061309040199,0.041097634081485576,0.8189842742378589,0.9860342868675896,0.8063271550828923,0.06788506441443315,0.5916605487287461,0.9074946954501258,-642.1595401757642,3132.7821700672557,-21571.52014760017,0.7948425107445879,-643.0936014848043,3132.772667075661,-21572.39688390986,-0.18237426961511072,0.4567799624988356,0.9228317882219373,0.04606918115979945,5.928397183890027,2.672616124600966,5.679623841329196,0.06548497260805607,35.31613761208498,7.185190211234034,13.76490229704519,0.1943951459356793,79.24258306398761,2686063098767.6294,146232711830.74603,2417458560438.446,3004226378590.378,40.55855431801817,3.523973857759092,31.04874283243364,45.603511610403416,4.091641575198886,8.520817627736081,0.13724410063580936,52.97234343318782,0.7396280872624378,1.1102230246251565e-16,0.7396280872624377,0.7396280872624377,0.5150866347764183,0.0,0.5150866347764183,0.5150866347764183,103.0,0.0,103.0,103.0
axis_plus_residual,1,asinh,raw,8.0,48,0.9337067288242339,0.04052862033346852,0.8051400454039963,0.9896381370261842,0.8075019915148266,0.05492429930962556,0.6521907111414312,0.891131580063073,-773.6725274457998,3648.940453564126,-25103.58407002629,0.7329851316980263,-774.6062341746241,3648.9308868755934,-25104.459322225583,-0.23077799701097856,0.49380454157355524,0.9896981551409617,0.025016475651043098,6.395337603765689,1.1915060337343517,2.20868368106654,0.03635249662429535,13.69121639257365,3.154260525239346,5.322842680009033,0.10915648252499527,32.125421571924946,2533923865155.099,112171874067.00244,2293143393890.9546,2844952500241.814,41.909730684290714,3.065673734734729,33.9918175694275,46.967456251279046,2.1263844339249514,3.9267995319504743,0.08070072726367647,24.63028700206478,0.8925002325519903,0.0,0.8925002325519903,0.8925002325519903,0.7133834848743236,0.0,0.7133834848743236,0.7133834848743236,103.0,0.0,103.0,103.0
axis_plus_residual,1,raw,bounded,16.0,48,0.9321812790911208,0.0409319567117961,0.7975965098237048,0.9906505963896448,0.8033664263666694,0.05332770644559788,0.6484747630893666,0.9017691315756571,-797.5519930450704,3398.0512757794368,-23345.603963743022,0.719151327630827,-798.4841743241615,3398.0413018581053,-23346.48003746309,-0.22141341631028455,0.5399341643965174,0.9717410850027828,0.021353079898935427,6.167352456069848,0.8717593527874418,1.4755080711093027,0.02999168202077797,9.26747213756301,3.0213363263778272,5.183739161624839,0.10442722008645242,32.035326731093924,2491579899338.3745,95907786135.47842,2270901507907.1997,2708878693687.5337,41.922699563048745,2.9853980867874994,35.32964106766463,47.57310085407515,1.9161422149099792,3.0906727607356603,0.06891722106446588,19.31987436178573,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,103.0,0.0,103.0,103.0
axis_plus_residual,1,raw,bounded,2.0,48,0.935064060074149,0.03788465347023657,0.8124941479332468,0.9908564807814667,0.8095550334149836,0.053094946675728706,0.6465396224308537,0.9117802582530536,-112.99928550960844,491.0310881015549,-3406.4580903623723,0.7890504392125974,-113.9343495696826,491.02161464346693,-3407.3399620026967,-0.1511871146196062,0.22491890172745843,0.3566814237292516,0.01831219404497786,2.3561224330743733,0.26081446008357073,0.3895378925759839,0.01672543385533942,2.547599846623335,0.868234796461209,1.2886821456787114,0.04987894638794241,8.235505098332432,2446640903493.8223,101722017802.60887,2227439924288.5093,2665706308518.8096,42.638944643781095,2.9393055067080347,36.15339502743927,48.11975478281294,0.9579769068138423,1.367472033591732,0.06409906771370494,8.958791363726482,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,103.0,0.0,103.0,103.0
axis_plus_residual,1,raw,bounded,4.0,48,0.9331500425071617,0.03988752925873438,0.8029146514159347,0.9907492631389427,0.8055108355070004,0.05319204084594153,0.6479655596264556,0.9028057881231841,-384.65328186590733,1663.4720997247266,-11474.666759497095,0.7594801439421208,-385.58643190841457,1663.4623722795504,-11475.544984677479,-0.1809985047915167,0.3834085701160715,0.6716103778881067,0.019657346717950053,4.32389455649647,0.5018473303342675,0.8226157589390056,0.021034903769686183,5.235771458805804,1.6712653867739,2.7521118712152366,0.06568532503146247,17.126089113468254,2472718345791.878,97817443940.19789,2253114018588.056,2672029179049.876,42.209867193711766,2.971174264308217,35.64201346175972,47.804606153587244,1.504820967237433,2.3710918296846475,0.06670006246661336,15.070256596487013,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,103.0,0.0,103.0,103.0
axis_plus_residual,1,raw,bounded,8.0,48,0.9324004481199978,0.040694184047741964,0.7988499047359812,0.9906776339331032,0.8038602928092574,0.053293648205249934,0.6483759522856993,0.9020532054572289,-666.7211732490142,2854.314928850194,-19630.179689736473,0.7326401163039226,-667.6535736971342,2854.305023690073,-19631.056280374793,-0.20790792088387322,0.4953761035715556,0.8880099371239649,0.02080143627406596,5.655356221748437,0.7321505781206289,1.229021484557161,0.026096988710829,7.7389207506515705,2.4768426473296876,4.2031708801041505,0.08668873418550727,25.98111981389464,2486656647026.8794,96237291032.37527,2266340681107.8843,2699394454386.487,41.99500999847561,2.9822594462943917,35.40688369438281,47.632603059040605,1.8168608075285313,2.92274495017519,0.06831910723083919,18.343702513520196,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,103.0,0.0,103.0,103.0
axis_plus_residual,1,raw,raw,16.0,48,0.9321046799907169,0.04101537737369884,0.7971487531600469,0.9906402467250963,0.8031923876001322,0.0533403511668619,0.6485066171451769,0.9016603913202497,-853.2628254086171,3628.425459544572,-24918.804188669958,0.7131167715983033,-854.1949300886077,3628.415459377695,-24919.680076380766,-0.22745335816938572,0.5579110889392455,1.005206301827607,0.021595287224325146,6.371757976019988,0.9562985558490583,1.6277726832326382,0.03267026348018452,10.220552170821072,3.3918359355165673,5.858199801965451,0.11766245864779572,36.2322429555812,2493416834581.319,95805034137.3717,2272598942015.3857,2712407408039.7456,41.89604610153239,2.98648889534959,35.30135868676213,47.55099746678657,1.951391256585631,3.149112221599996,0.0691447770697771,19.656531447298264,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,103.0,0.0,103.0,103.0
axis_plus_residual,1,raw,raw,2.0,48,0.9321046799907169,0.04101537737369884,0.7971487531600469,0.9906402467250963,0.8031923876001322,0.0533403511668619,0.6485066171451769,0.9016603913202497,-853.2628254086171,3628.425459544572,-24918.804188669958,0.7131167715983033,-854.1949300886077,3628.415459377695,-24919.680076380766,-0.22745335816938572,0.5579110889392455,1.005206301827607,0.021595287224325146,6.371757976019988,0.9562985558490583,1.6277726832326382,0.03267026348018452,10.220552170821072,3.3918359355165673,5.858199801965451,0.11766245864779572,36.2322429555812,2493416834581.319,95805034137.3717,2272598942015.3857,2712407408039.7456,41.89604610153239,2.98648889534959,35.30135868676213,47.55099746678657,1.951391256585631,3.149112221599996,0.0691447770697771,19.656531447298264,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,103.0,0.0,103.0,103.0
axis_plus_residual,1,raw,raw,4.0,48,0.9321046799907169,0.04101537737369884,0.7971487531600469,0.9906402467250963,0.8031923876001322,0.0533403511668619,0.6485066171451769,0.9016603913202497,-853.2628254086171,3628.425459544572,-24918.804188669958,0.7131167715983033,-854.1949300886077,3628.415459377695,-24919.680076380766,-0.22745335816938572,0.5579110889392455,1.005206301827607,0.021595287224325146,6.371757976019988,0.9562985558490583,1.6277726832326382,0.03267026348018452,10.220552170821072,3.3918359355165673,5.858199801965451,0.11766245864779572,36.2322429555812,2493416834581.319,95805034137.3717,2272598942015.3857,2712407408039.7456,41.89604610153239,2.98648889534959,35.30135868676213,47.55099746678657,1.951391256585631,3.149112221599996,0.0691447770697771,19.656531447298264,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,103.0,0.0,103.0,103.0
