checkpoint,state,dataset,task,basis,seed,train_steps,checkpoint_score,checkpoint_final_score,eval_mode,sector,sector_features,score,loss,delta_vs_full,gain_vs_zero,coeff_energy_share
MetricToric/results/v7_cifar10_recon_top110_30k_3seed/checkpoints/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed426_holdoutR4_steps30000_h1_b10_cl20_tail0_g0_constant_s0_r0.pt,final,cifar10,reconstruction,table_informed_toric_PJ_R0_top110,426,30000,0.80216383934021,0.8022964596748352,full,all_positional,109,0.8022964596748352,0.19718925654888153,0.0,0.5844163298606873,1.0
MetricToric/results/v7_cifar10_recon_top110_30k_3seed/checkpoints/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed426_holdoutR4_steps30000_h1_b10_cl20_tail0_g0_constant_s0_r0.pt,final,cifar10,reconstruction,table_informed_toric_PJ_R0_top110,426,30000,0.80216383934021,0.8022964596748352,zero_bias,none,0,0.21788012981414795,0.7806295156478882,-0.5844163298606873,0.0,0.0
MetricToric/results/v7_cifar10_recon_top110_30k_3seed/checkpoints/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed426_holdoutR4_steps30000_h1_b10_cl20_tail0_g0_constant_s0_r0.pt,final,cifar10,reconstruction,table_informed_toric_PJ_R0_top110,426,30000,0.80216383934021,0.8022964596748352,keep,const,1,0.2182970643043518,0.7802200317382812,-0.5839993953704834,0.0004169344902038574,0.006936560844040277
MetricToric/results/v7_cifar10_recon_top110_30k_3seed/checkpoints/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed426_holdoutR4_steps30000_h1_b10_cl20_tail0_g0_constant_s0_r0.pt,final,cifar10,reconstruction,table_informed_toric_PJ_R0_top110,426,30000,0.80216383934021,0.8022964596748352,ablate,const,1,0.8019841909408569,0.19750241935253143,-0.0003122687339782715,0.584104061126709,0.006936560844040277
MetricToric/results/v7_cifar10_recon_top110_30k_3seed/checkpoints/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed426_holdoutR4_steps30000_h1_b10_cl20_tail0_g0_constant_s0_r0.pt,final,cifar10,reconstruction,table_informed_toric_PJ_R0_top110,426,30000,0.80216383934021,0.8022964596748352,keep,axial_J0,56,0.579154372215271,0.4197545051574707,-0.2231420874595642,0.36127424240112305,0.5536706917238939
MetricToric/results/v7_cifar10_recon_top110_30k_3seed/checkpoints/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed426_holdoutR4_steps30000_h1_b10_cl20_tail0_g0_constant_s0_r0.pt,final,cifar10,reconstruction,table_informed_toric_PJ_R0_top110,426,30000,0.80216383934021,0.8022964596748352,ablate,axial_J0,56,0.5519073605537415,0.4470527768135071,-0.25038909912109375,0.3340272307395935,0.5536706917238939
MetricToric/results/v7_cifar10_recon_top110_30k_3seed/checkpoints/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed426_holdoutR4_steps30000_h1_b10_cl20_tail0_g0_constant_s0_r0.pt,final,cifar10,reconstruction,table_informed_toric_PJ_R0_top110,426,30000,0.80216383934021,0.8022964596748352,keep,oblique_J0,52,0.5499433279037476,0.44901034235954285,-0.25235313177108765,0.3320631980895996,0.4393927403090456
MetricToric/results/v7_cifar10_recon_top110_30k_3seed/checkpoints/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed426_holdoutR4_steps30000_h1_b10_cl20_tail0_g0_constant_s0_r0.pt,final,cifar10,reconstruction,table_informed_toric_PJ_R0_top110,426,30000,0.80216383934021,0.8022964596748352,ablate,oblique_J0,52,0.5796070694923401,0.41930684447288513,-0.22268939018249512,0.36172693967819214,0.4393927403090456
MetricToric/results/v7_cifar10_recon_top110_30k_3seed/checkpoints/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed526_holdoutR4_steps30000_h1_b10_cl20_tail0_g0_constant_s0_r0.pt,final,cifar10,reconstruction,table_informed_toric_PJ_R0_top110,526,30000,0.7617492079734802,0.7605489492416382,full,all_positional,109,0.7605489492416382,0.238766148686409,0.0,0.5472167134284973,1.0
MetricToric/results/v7_cifar10_recon_top110_30k_3seed/checkpoints/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed526_holdoutR4_steps30000_h1_b10_cl20_tail0_g0_constant_s0_r0.pt,final,cifar10,reconstruction,table_informed_toric_PJ_R0_top110,526,30000,0.7617492079734802,0.7605489492416382,zero_bias,none,0,0.21333223581314087,0.7849262952804565,-0.5472167134284973,0.0,0.0
MetricToric/results/v7_cifar10_recon_top110_30k_3seed/checkpoints/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed526_holdoutR4_steps30000_h1_b10_cl20_tail0_g0_constant_s0_r0.pt,final,cifar10,reconstruction,table_informed_toric_PJ_R0_top110,526,30000,0.7617492079734802,0.7605489492416382,keep,const,1,0.2132750153541565,0.7849823832511902,-0.5472739338874817,-5.7220458984375e-05,0.005369595942868053
MetricToric/results/v7_cifar10_recon_top110_30k_3seed/checkpoints/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed526_holdoutR4_steps30000_h1_b10_cl20_tail0_g0_constant_s0_r0.pt,final,cifar10,reconstruction,table_informed_toric_PJ_R0_top110,526,30000,0.7617492079734802,0.7605489492416382,ablate,const,1,0.7607512474060059,0.2385644167661667,0.00020229816436767578,0.547419011592865,0.005369595942868053
MetricToric/results/v7_cifar10_recon_top110_30k_3seed/checkpoints/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed526_holdoutR4_steps30000_h1_b10_cl20_tail0_g0_constant_s0_r0.pt,final,cifar10,reconstruction,table_informed_toric_PJ_R0_top110,526,30000,0.7617492079734802,0.7605489492416382,keep,axial_J0,56,0.43504488468170166,0.5632761120796204,-0.3255040645599365,0.2217126488685608,0.5495609274698209
MetricToric/results/v7_cifar10_recon_top110_30k_3seed/checkpoints/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed526_holdoutR4_steps30000_h1_b10_cl20_tail0_g0_constant_s0_r0.pt,final,cifar10,reconstruction,table_informed_toric_PJ_R0_top110,526,30000,0.7617492079734802,0.7605489492416382,ablate,axial_J0,56,0.4348911643028259,0.5636327266693115,-0.32565778493881226,0.22155892848968506,0.5495609274698209
MetricToric/results/v7_cifar10_recon_top110_30k_3seed/checkpoints/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed526_holdoutR4_steps30000_h1_b10_cl20_tail0_g0_constant_s0_r0.pt,final,cifar10,reconstruction,table_informed_toric_PJ_R0_top110,526,30000,0.7617492079734802,0.7605489492416382,keep,oblique_J0,52,0.43709254264831543,0.5614479184150696,-0.32345640659332275,0.22376030683517456,0.44506950795213546
MetricToric/results/v7_cifar10_recon_top110_30k_3seed/checkpoints/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed526_holdoutR4_steps30000_h1_b10_cl20_tail0_g0_constant_s0_r0.pt,final,cifar10,reconstruction,table_informed_toric_PJ_R0_top110,526,30000,0.7617492079734802,0.7605489492416382,ablate,oblique_J0,52,0.43550610542297363,0.5628232359886169,-0.32504284381866455,0.22217386960983276,0.44506950795213546
MetricToric/results/v7_cifar10_recon_top110_30k_3seed/checkpoints/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed626_holdoutR4_steps30000_h1_b10_cl20_tail0_g0_constant_s0_r0.pt,final,cifar10,reconstruction,table_informed_toric_PJ_R0_top110,626,30000,0.6963024139404297,0.693716287612915,full,all_positional,109,0.693716287612915,0.3051283061504364,0.0,0.4719054102897644,1.0
MetricToric/results/v7_cifar10_recon_top110_30k_3seed/checkpoints/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed626_holdoutR4_steps30000_h1_b10_cl20_tail0_g0_constant_s0_r0.pt,final,cifar10,reconstruction,table_informed_toric_PJ_R0_top110,626,30000,0.6963024139404297,0.693716287612915,zero_bias,none,0,0.22181087732315063,0.7755579352378845,-0.4719054102897644,0.0,0.0
MetricToric/results/v7_cifar10_recon_top110_30k_3seed/checkpoints/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed626_holdoutR4_steps30000_h1_b10_cl20_tail0_g0_constant_s0_r0.pt,final,cifar10,reconstruction,table_informed_toric_PJ_R0_top110,626,30000,0.6963024139404297,0.693716287612915,keep,const,1,0.2216026782989502,0.7757661938667297,-0.47211360931396484,-0.00020819902420043945,0.007134697425468186
MetricToric/results/v7_cifar10_recon_top110_30k_3seed/checkpoints/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed626_holdoutR4_steps30000_h1_b10_cl20_tail0_g0_constant_s0_r0.pt,final,cifar10,reconstruction,table_informed_toric_PJ_R0_top110,626,30000,0.6963024139404297,0.693716287612915,ablate,const,1,0.694074273109436,0.30477261543273926,0.0003579854965209961,0.4722633957862854,0.007134697425468186
MetricToric/results/v7_cifar10_recon_top110_30k_3seed/checkpoints/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed626_holdoutR4_steps30000_h1_b10_cl20_tail0_g0_constant_s0_r0.pt,final,cifar10,reconstruction,table_informed_toric_PJ_R0_top110,626,30000,0.6963024139404297,0.693716287612915,keep,axial_J0,56,0.36314648389816284,0.6344324350357056,-0.3305698037147522,0.1413356065750122,0.5580731927341592
MetricToric/results/v7_cifar10_recon_top110_30k_3seed/checkpoints/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed626_holdoutR4_steps30000_h1_b10_cl20_tail0_g0_constant_s0_r0.pt,final,cifar10,reconstruction,table_informed_toric_PJ_R0_top110,626,30000,0.6963024139404297,0.693716287612915,ablate,axial_J0,56,0.3056691884994507,0.6917640566825867,-0.38804709911346436,0.08385831117630005,0.5580731927341592
MetricToric/results/v7_cifar10_recon_top110_30k_3seed/checkpoints/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed626_holdoutR4_steps30000_h1_b10_cl20_tail0_g0_constant_s0_r0.pt,final,cifar10,reconstruction,table_informed_toric_PJ_R0_top110,626,30000,0.6963024139404297,0.693716287612915,keep,oblique_J0,52,0.30504679679870605,0.6923968195915222,-0.388669490814209,0.08323591947555542,0.434792083256273
MetricToric/results/v7_cifar10_recon_top110_30k_3seed/checkpoints/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed626_holdoutR4_steps30000_h1_b10_cl20_tail0_g0_constant_s0_r0.pt,final,cifar10,reconstruction,table_informed_toric_PJ_R0_top110,626,30000,0.6963024139404297,0.693716287612915,ablate,oblique_J0,52,0.3639938235282898,0.6335800290107727,-0.32972246408462524,0.14218294620513916,0.434792083256273
