basis,num_features,r2,mse,condition,coeff_norm,order0_energy,order1_energy,order2_energy,subset_size,subset_seed,actual_subset_size
constant,1,0.0,0.015374979004263878,1.0,0.022195955738425255,1.0,0.0,0.0,128,101,128
fft_top6_J0,13,0.7373092174530029,0.004038865678012371,1.0000001192092896,0.15220022201538086,1.0,0.0,0.0,128,101,128
fft_top6_J1,37,0.8162544965744019,0.0028250827454030514,112.51338195800781,1.0041712522506714,2.3891050815582275,2.1864829063415527,0.0,128,101,128
fft_top6_J2,73,0.8791775703430176,0.0018576419679448009,208805.671875,23.369951248168945,80.50785064697266,35.37134552001953,54.299869537353516,128,101,128
fft_top6_J2_coord_shuffle,73,0.023273110389709473,0.015017155557870865,209047.15625,64.82882690429688,852.355224609375,332.00634765625,589.9735107421875,128,101,128
dct_top13,13,0.871113657951355,0.001981624634936452,1.0000029802322388,0.18018093705177307,1.0,0.0,0.0,128,101,128
dct_top73,73,0.9984828233718872,2.3326418158831075e-05,1.0000109672546387,0.1976037472486496,1.0,0.0,0.0,128,101,128
constant,1,0.0,0.01887637749314308,1.0,0.029159344732761383,1.0,0.0,0.0,128,202,128
fft_top6_J0,13,0.7524905204772949,0.004672082141041756,1.000000238418579,0.17105227708816528,1.0,0.0,0.0,128,202,128
fft_top6_J1,37,0.8255428671836853,0.0032931186724454165,112.51319122314453,0.8611690402030945,1.9121551513671875,1.5868494510650635,0.0,128,202,128
fft_top6_J2,73,0.8858703374862671,0.002154354704543948,208871.265625,23.440492630004883,69.44580841064453,32.22764587402344,45.9938850402832,128,202,128
fft_top6_J2_coord_shuffle,73,-0.035100579261779785,0.01953894831240177,208982.609375,297.921142578125,1420.0804443359375,599.69873046875,1079.0863037109375,128,202,128
dct_top13,13,0.8913192749023438,0.0020514982752501965,1.0000029802322388,0.2038516253232956,1.0,0.0,0.0,128,202,128
dct_top73,73,0.9986310005187988,2.5842275135801174e-05,1.0000112056732178,0.2187173068523407,1.0,0.0,0.0,128,202,128
constant,1,0.0,0.01525686401873827,1.0,0.01947716251015663,1.0,0.0,0.0,128,303,128
fft_top6_J0,13,0.7511099576950073,0.003797281999140978,1.0000001192092896,0.15263861417770386,1.0,0.0,0.0,128,303,128
fft_top6_J1,37,0.8208267688751221,0.002733621746301651,112.51338195800781,0.6944189667701721,1.7529946565628052,1.4365726709365845,0.0,128,303,128
fft_top6_J2,73,0.8875254988670349,0.0017160081770271063,208805.671875,19.171066284179688,69.05355834960938,26.775054931640625,48.651424407958984,128,303,128
fft_top6_J2_coord_shuffle,73,0.02459406852722168,0.014881636016070843,208869.59375,217.32655334472656,2451.885986328125,953.3867797851562,1690.914306640625,128,303,128
dct_top13,13,0.8988618850708008,0.0015430506318807602,1.0000017881393433,0.1840876191854477,1.0,0.0,0.0,128,303,128
dct_top73,73,0.9987503290176392,1.906578108901158e-05,1.0000089406967163,0.1970539093017578,1.0,0.0,0.0,128,303,128
constant,1,0.0,0.024991920217871666,1.0,0.03797145560383797,1.0,0.0,0.0,128,404,128
fft_top6_J0,13,0.7967559099197388,0.005079460795968771,1.000000238418579,0.20314227044582367,1.0,0.0,0.0,128,404,128
fft_top6_J1,37,0.8665783405303955,0.003334463806822896,112.51301574707031,1.065314769744873,2.005082845687866,1.724191665649414,0.0,128,404,128
fft_top6_J2,73,0.9206355214118958,0.0019834712147712708,208652.71875,25.72067642211914,66.31023406982422,28.929597854614258,44.70442581176758,128,404,128
fft_top6_J2_coord_shuffle,73,-0.23457980155944824,0.030854521319270134,208463.171875,1008.7495727539062,3870.399169921875,1495.7449951171875,2682.15087890625,128,404,128
dct_top13,13,0.9161853790283203,0.0020946883596479893,1.000001311302185,0.23845551908016205,1.0,0.0,0.0,128,404,128
dct_top73,73,0.998896062374115,2.758965638349764e-05,1.0000102519989014,0.25188031792640686,1.0,0.0,0.0,128,404,128
constant,1,0.0,0.02063981629908085,1.0,0.023522688075900078,1.0,0.0,0.0,128,505,128
fft_top6_J0,13,0.7528120875358582,0.005101913120597601,1.0000001192092896,0.17784585058689117,1.0,0.0,0.0,128,505,128
fft_top6_J1,37,0.828811526298523,0.0035332993138581514,112.51264190673828,0.7979097962379456,1.7352298498153687,1.4480102062225342,0.0,128,505,128
fft_top6_J2,73,0.8906756043434143,0.0022564351093024015,208839.359375,25.889598846435547,76.51692962646484,33.365020751953125,51.624141693115234,128,505,128
fft_top6_J2_coord_shuffle,73,0.01926666498184204,0.020242156460881233,208742.078125,152.33795166015625,1551.241943359375,602.1290893554688,1073.04833984375,128,505,128
dct_top13,13,0.8863797783851624,0.002345100976526737,1.0000029802322388,0.2117605358362198,1.0,0.0,0.0,128,505,128
dct_top73,73,0.9987874031066895,2.5027909941854887e-05,1.0000120401382446,0.22928106784820557,1.0,0.0,0.0,128,505,128
constant,1,1.1920928955078125e-07,0.016079051420092583,1.0,0.02025458961725235,1.0,0.0,0.0,192,101,192
fft_top6_J0,13,0.7384703159332275,0.004205149598419666,1.0000001192092896,0.1554286926984787,1.0,0.0,0.0,192,101,192
fft_top6_J1,37,0.817528247833252,0.002933972515165806,112.51338195800781,1.151576280593872,2.6780643463134766,2.5136325359344482,0.0,192,101,192
fft_top6_J2,73,0.8799472451210022,0.0019303346052765846,208805.671875,24.901552200317383,83.58892059326172,36.44597625732422,56.43278884887695,192,101,192
fft_top6_J2_coord_shuffle,73,0.02318042516708374,0.01570633426308632,209047.15625,67.75181579589844,915.6168212890625,356.2223205566406,634.4151000976562,192,101,192
dct_top13,13,0.8682689070701599,0.0021181111223995686,1.0000029802322388,0.18353228271007538,1.0,0.0,0.0,192,101,192
dct_top73,73,0.9985361099243164,2.3537575543741696e-05,1.000009536743164,0.2018359750509262,1.0,0.0,0.0,192,101,192
constant,1,5.960464477539063e-08,0.022542709484696388,1.0,0.02968856506049633,1.0,0.0,0.0,192,202,192
fft_top6_J0,13,0.7566307783126831,0.005486202426254749,1.0000001192092896,0.18706806004047394,1.0,0.0,0.0,192,202,192
fft_top6_J1,37,0.8285161256790161,0.0038657120894640684,112.51264190673828,1.0960761308670044,2.188112258911133,1.936023235321045,0.0,192,202,192
fft_top6_J2,73,0.891076922416687,0.0024554217234253883,208839.359375,26.763830184936523,75.6541976928711,32.16502380371094,51.47846603393555,192,202,192
fft_top6_J2_coord_shuffle,73,0.029262006282806396,0.02188306674361229,209009.9375,119.69391632080078,675.3711547851562,289.04913330078125,518.5988159179688,192,202,192
dct_top13,13,0.8953026533126831,0.0023601623252034187,1.0000028610229492,0.22242382168769836,1.0,0.0,0.0,192,202,192
dct_top73,73,0.9988230466842651,2.653237243066542e-05,1.0000097751617432,0.23860283195972443,1.0,0.0,0.0,192,202,192
constant,1,0.0,0.021794896572828293,1.0,0.029918232932686806,1.0,0.0,0.0,192,303,192
fft_top6_J0,13,0.7639437913894653,0.005144820548593998,1.0000001192092896,0.18491965532302856,1.0,0.0,0.0,192,303,192
fft_top6_J1,37,0.8334721326828003,0.003629458136856556,112.51264190673828,0.8869940638542175,1.8385077714920044,1.5280499458312988,0.0,192,303,192
fft_top6_J2,73,0.8944640159606934,0.002300146035850048,208839.359375,25.597644805908203,72.85227966308594,31.78801727294922,49.16045379638672,192,303,192
fft_top6_J2_coord_shuffle,73,0.033346354961395264,0.021068116649985313,209016.0,134.82887268066406,1236.51904296875,488.87359619140625,850.1980590820312,192,303,192
dct_top13,13,0.897873044013977,0.0022258467506617308,1.0000019073486328,0.2194419503211975,1.0,0.0,0.0,192,303,192
dct_top73,73,0.9988183975219727,2.5752899091457948e-05,1.0000109672546387,0.23484094440937042,1.0,0.0,0.0,192,303,192
constant,1,0.0,0.02268342673778534,1.0,0.031996067613363266,1.0,0.0,0.0,192,404,192
fft_top6_J0,13,0.7693132758140564,0.005232765804976225,1.0000001192092896,0.18953917920589447,1.0,0.0,0.0,192,404,192
fft_top6_J1,37,0.8415071964263916,0.0035951598547399044,112.51264190673828,1.0031626224517822,1.9966295957565308,1.7164404392242432,0.0,192,404,192
fft_top6_J2,73,0.9001873731613159,0.0022640922106802464,208839.359375,26.748579025268555,73.67191314697266,32.35369873046875,49.58420181274414,192,404,192
fft_top6_J2_coord_shuffle,73,-0.2507094144821167,0.02837037667632103,208822.46875,984.9752197265625,3956.52392578125,1529.134033203125,2741.763671875,192,404,192
dct_top13,13,0.898444414138794,0.0023036280181258917,1.0000030994415283,0.22394207119941711,1.0,0.0,0.0,192,404,192
dct_top73,73,0.998853862285614,2.599889376142528e-05,1.0000078678131104,0.23968961834907532,1.0,0.0,0.0,192,404,192
constant,1,0.0,0.018644530326128006,1.0,0.023969462141394615,1.0,0.0,0.0,192,505,192
fft_top6_J0,13,0.7378172874450684,0.004888273309916258,1.0000001192092896,0.16759200394153595,1.0,0.0,0.0,192,505,192
fft_top6_J1,37,0.8126858472824097,0.0034923837520182133,112.51338195800781,0.9657121300697327,2.1245806217193604,1.8914521932601929,0.0,192,505,192
fft_top6_J2,73,0.8802284598350525,0.002233084524050355,208805.671875,26.60660743713379,79.5604248046875,36.820220947265625,52.62175750732422,192,505,192
fft_top6_J2_coord_shuffle,73,0.03193777799606323,0.01804906502366066,208743.578125,57.09623336791992,619.5892333984375,256.13348388671875,422.7281799316406,192,505,192
dct_top13,13,0.8808009028434753,0.002222411334514618,1.0000028610229492,0.2003055065870285,1.0,0.0,0.0,192,505,192
dct_top73,73,0.9985575079917908,2.6894162147073075e-05,1.0000097751617432,0.21714971959590912,1.0,0.0,0.0,192,505,192
constant,1,0.0,0.02049141749739647,1.0,0.02907051146030426,1.0,0.0,0.0,256,101,256
fft_top6_J0,13,0.7629889845848083,0.004856691230088472,1.0000001192092896,0.17920538783073425,1.0,0.0,0.0,256,101,256
fft_top6_J1,37,0.8335948586463928,0.003409877186641097,112.51338195800781,1.0794168710708618,2.2427337169647217,1.9973607063293457,0.0,256,101,256
fft_top6_J2,73,0.8939049243927002,0.0021740386728197336,208805.671875,24.987884521484375,73.01431274414062,31.861513137817383,49.272796630859375,256,101,256
fft_top6_J2_coord_shuffle,73,0.023805737495422363,0.020003603771328926,209047.15625,70.76164245605469,760.4468994140625,294.49371337890625,529.32666015625,256,101,256
dct_top13,13,0.8968049883842468,0.002114612376317382,1.0000025033950806,0.21291549503803253,1.0,0.0,0.0,256,101,256
dct_top73,73,0.9988278746604919,2.4018077965592965e-05,1.0000091791152954,0.22797833383083344,1.0,0.0,0.0,256,101,256
