variant,fit_target,feature_budget,n,table_fit_r2_mean,table_fit_r2_std,residual_fit_r2_mean,residual_fit_r2_std,num_features
axis_full_29,axis_plus_residual,5,48,0.7666452527046204,0.14143556356430054,3.725290298461914e-09,5.8862731577846716e-08,29
axis_full_29,axis_plus_residual,15,48,0.7666452527046204,0.14143556356430054,3.725290298461914e-09,5.8862731577846716e-08,29
axis_full_29,axis_plus_residual,33,48,0.7666452527046204,0.14143556356430054,3.725290298461914e-09,5.8862731577846716e-08,29
axis_full_29,axis_plus_residual,55,48,0.7666452527046204,0.14143556356430054,3.725290298461914e-09,5.8862731577846716e-08,29
axis_full_29,axis_plus_residual,110,48,0.7666452527046204,0.14143556356430054,3.725290298461914e-09,5.8862731577846716e-08,29
axis_full_29,axis_plus_residual,225,48,0.7666452527046204,0.14143556356430054,3.725290298461914e-09,5.8862731577846716e-08,29
axis_full_29,full_table,5,48,0.7666452527046204,0.14143556356430054,nan,nan,29
axis_full_29,full_table,15,48,0.7666452527046204,0.14143556356430054,nan,nan,29
axis_full_29,full_table,33,48,0.7666452527046204,0.14143556356430054,nan,nan,29
axis_full_29,full_table,55,48,0.7666452527046204,0.14143556356430054,nan,nan,29
axis_full_29,full_table,110,48,0.7666452527046204,0.14143556356430054,nan,nan,29
axis_full_29,full_table,225,48,0.7666452527046204,0.14143556356430054,nan,nan,29
axis_full_29,oblique_residual,5,48,-0.7140845656394958,0.5856946706771851,3.725290298461914e-09,5.8862731577846716e-08,29
axis_full_29,oblique_residual,15,48,-0.7140845656394958,0.5856946706771851,3.725290298461914e-09,5.8862731577846716e-08,29
axis_full_29,oblique_residual,33,48,-0.7140845656394958,0.5856946706771851,3.725290298461914e-09,5.8862731577846716e-08,29
axis_full_29,oblique_residual,55,48,-0.7140845656394958,0.5856946706771851,3.725290298461914e-09,5.8862731577846716e-08,29
axis_full_29,oblique_residual,110,48,-0.7140845656394958,0.5856946706771851,3.725290298461914e-09,5.8862731577846716e-08,29
axis_full_29,oblique_residual,225,48,-0.7140845656394958,0.5856946706771851,3.725290298461914e-09,5.8862731577846716e-08,29
axis_lowrank_5,axis_plus_residual,5,48,0.7666452527046204,0.14143556356430054,-1.2417634698280722e-09,6.020952270091584e-08,5
axis_lowrank_5,axis_plus_residual,15,48,0.7666452527046204,0.14143556356430054,-1.2417634698280722e-09,6.020952270091584e-08,5
axis_lowrank_5,axis_plus_residual,33,48,0.7666452527046204,0.14143556356430054,-1.2417634698280722e-09,6.020952270091584e-08,5
axis_lowrank_5,axis_plus_residual,55,48,0.7666452527046204,0.14143556356430054,-1.2417634698280722e-09,6.020952270091584e-08,5
axis_lowrank_5,axis_plus_residual,110,48,0.7666452527046204,0.14143556356430054,-1.2417634698280722e-09,6.020952270091584e-08,5
axis_lowrank_5,axis_plus_residual,225,48,0.7666452527046204,0.14143556356430054,-1.2417634698280722e-09,6.020952270091584e-08,5
axis_lowrank_5,full_table,5,48,0.1612904667854309,0.09579547494649887,nan,nan,5
axis_lowrank_5,full_table,15,48,0.1612904667854309,0.09579547494649887,nan,nan,5
axis_lowrank_5,full_table,33,48,0.1612904667854309,0.09579547494649887,nan,nan,5
axis_lowrank_5,full_table,55,48,0.1612904667854309,0.09579547494649887,nan,nan,5
axis_lowrank_5,full_table,110,48,0.1612904667854309,0.09579547494649887,nan,nan,5
axis_lowrank_5,full_table,225,48,0.1612904667854309,0.09579547494649887,nan,nan,5
axis_lowrank_5,oblique_residual,5,48,-0.7140846252441406,0.5856946706771851,-1.2417634698280722e-09,6.020952270091584e-08,5
axis_lowrank_5,oblique_residual,15,48,-0.7140846252441406,0.5856946706771851,-1.2417634698280722e-09,6.020952270091584e-08,5
axis_lowrank_5,oblique_residual,33,48,-0.7140846252441406,0.5856946706771851,-1.2417634698280722e-09,6.020952270091584e-08,5
axis_lowrank_5,oblique_residual,55,48,-0.7140846252441406,0.5856946706771851,-1.2417634698280722e-09,6.020952270091584e-08,5
axis_lowrank_5,oblique_residual,110,48,-0.7140846252441406,0.5856946706771851,-1.2417634698280722e-09,6.020952270091584e-08,5
axis_lowrank_5,oblique_residual,225,48,-0.7140846252441406,0.5856946706771851,-1.2417634698280722e-09,6.020952270091584e-08,5
axis_plus_lc_toric_residual,axis_plus_residual,5,48,0.8205525279045105,0.1193949431180954,0.24901366233825684,0.08885236084461212,19
axis_plus_lc_toric_residual,axis_plus_residual,15,48,0.8205525279045105,0.1193949431180954,0.24901366233825684,0.08885236084461212,19
axis_plus_lc_toric_residual,axis_plus_residual,33,48,0.8205525279045105,0.1193949431180954,0.24901366233825684,0.08885236084461212,19
axis_plus_lc_toric_residual,axis_plus_residual,55,48,0.8205525279045105,0.1193949431180954,0.24901366233825684,0.08885236084461212,19
axis_plus_lc_toric_residual,axis_plus_residual,110,48,0.8589010834693909,0.10315059125423431,0.41676580905914307,0.13322944939136505,73
axis_plus_lc_toric_residual,axis_plus_residual,225,48,0.9059133529663086,0.07935639470815659,0.6203424334526062,0.13160982728004456,181
axis_plus_lc_toric_residual,full_table,5,48,0.5799524188041687,0.1861417591571808,nan,nan,19
axis_plus_lc_toric_residual,full_table,15,48,0.5799524188041687,0.1861417591571808,nan,nan,19
axis_plus_lc_toric_residual,full_table,33,48,0.5799524188041687,0.1861417591571808,nan,nan,19
axis_plus_lc_toric_residual,full_table,55,48,0.5799524188041687,0.1861417591571808,nan,nan,19
axis_plus_lc_toric_residual,full_table,110,48,0.7125012874603271,0.15040932595729828,nan,nan,73
axis_plus_lc_toric_residual,full_table,225,48,0.8454103469848633,0.1111694723367691,nan,nan,181
axis_plus_lc_toric_residual,oblique_residual,5,48,-0.6542369723320007,0.5876752734184265,0.24901366233825684,0.08885236084461212,19
axis_plus_lc_toric_residual,oblique_residual,15,48,-0.6542369723320007,0.5876752734184265,0.24901366233825684,0.08885236084461212,19
axis_plus_lc_toric_residual,oblique_residual,33,48,-0.6542369723320007,0.5876752734184265,0.24901366233825684,0.08885236084461212,19
axis_plus_lc_toric_residual,oblique_residual,55,48,-0.6542369723320007,0.5876752734184265,0.24901366233825684,0.08885236084461212,19
axis_plus_lc_toric_residual,oblique_residual,110,48,-0.6233729720115662,0.5859932899475098,0.41676580905914307,0.13322944939136505,73
axis_plus_lc_toric_residual,oblique_residual,225,48,-0.5755323767662048,0.5770406723022461,0.6203424334526062,0.13160982728004456,181
axis_plus_toric_residual_R0,axis_plus_residual,5,48,0.7936626076698303,0.1274009644985199,0.11782822012901306,0.05415274202823639,3
axis_plus_toric_residual_R0,axis_plus_residual,15,48,0.7936626076698303,0.1274009644985199,0.11782822012901306,0.05415274202823639,3
axis_plus_toric_residual_R0,axis_plus_residual,33,48,0.7936626076698303,0.1274009644985199,0.11782822012901306,0.05415274202823639,5
axis_plus_toric_residual_R0,axis_plus_residual,55,48,0.8660600781440735,0.09080155938863754,0.42834579944610596,0.10181146115064621,27
axis_plus_toric_residual_R0,axis_plus_residual,110,48,0.9208547472953796,0.06098742038011551,0.6707823872566223,0.0794597864151001,81
axis_plus_toric_residual_R0,axis_plus_residual,225,48,0.9752787947654724,0.02098965458571911,0.8984423279762268,0.03396416828036308,197
axis_plus_toric_residual_R0,full_table,5,48,0.4255983531475067,0.18433235585689545,nan,nan,3
axis_plus_toric_residual_R0,full_table,15,48,0.4255983531475067,0.18433235585689545,nan,nan,3
axis_plus_toric_residual_R0,full_table,33,48,0.4255983531475067,0.18433235585689545,nan,nan,5
axis_plus_toric_residual_R0,full_table,55,48,0.740534782409668,0.1252727508544922,nan,nan,27
axis_plus_toric_residual_R0,full_table,110,48,0.875783383846283,0.07993503659963608,nan,nan,81
axis_plus_toric_residual_R0,full_table,225,48,0.9571940302848816,0.03360728546977043,nan,nan,197
axis_plus_toric_residual_R0,oblique_residual,5,48,-0.6870670914649963,0.5802201628684998,0.11782822012901306,0.05415274202823639,3
axis_plus_toric_residual_R0,oblique_residual,15,48,-0.6870670914649963,0.5802201628684998,0.11782822012901306,0.05415274202823639,3
axis_plus_toric_residual_R0,oblique_residual,33,48,-0.6870670914649963,0.5802201628684998,0.11782822012901306,0.05415274202823639,5
axis_plus_toric_residual_R0,oblique_residual,55,48,-0.6146697402000427,0.5724276900291443,0.42834579944610596,0.10181146115064621,27
axis_plus_toric_residual_R0,oblique_residual,110,48,-0.5598750114440918,0.5714467167854309,0.6707823872566223,0.0794597864151001,81
axis_plus_toric_residual_R0,oblique_residual,225,48,-0.5054509043693542,0.5669740438461304,0.8984423279762268,0.03396416828036308,197
axis_plus_toric_residual_R1,axis_plus_residual,5,48,0.8049874901771545,0.12321427464485168,0.1695166975259781,0.0710468515753746,11
axis_plus_toric_residual_R1,axis_plus_residual,15,48,0.8049874901771545,0.12321427464485168,0.1695166975259781,0.0710468515753746,11
axis_plus_toric_residual_R1,axis_plus_residual,33,48,0.8049874901771545,0.12321427464485168,0.1695166975259781,0.0710468515753746,11
axis_plus_toric_residual_R1,axis_plus_residual,55,48,0.8049874901771545,0.12321427464485168,0.1695166975259781,0.0710468515753746,21
axis_plus_toric_residual_R1,axis_plus_residual,110,48,0.8656719326972961,0.09789274632930756,0.43845057487487793,0.12950463593006134,81
axis_plus_toric_residual_R1,axis_plus_residual,225,48,0.9148610234260559,0.07616626471281052,0.6625556945800781,0.11601679027080536,191
axis_plus_toric_residual_R1,full_table,5,48,0.5027515888214111,0.18108025193214417,nan,nan,11
axis_plus_toric_residual_R1,full_table,15,48,0.5027515888214111,0.18108025193214417,nan,nan,11
axis_plus_toric_residual_R1,full_table,33,48,0.5027515888214111,0.18108025193214417,nan,nan,11
axis_plus_toric_residual_R1,full_table,55,48,0.5027515888214111,0.18108025193214417,nan,nan,21
axis_plus_toric_residual_R1,full_table,110,48,0.7602145671844482,0.133645161986351,nan,nan,81
axis_plus_toric_residual_R1,full_table,225,48,0.8674350380897522,0.08961617946624756,nan,nan,191
axis_plus_toric_residual_R1,oblique_residual,5,48,-0.6835668087005615,0.5893200635910034,0.1695166975259781,0.0710468515753746,11
axis_plus_toric_residual_R1,oblique_residual,15,48,-0.6835668087005615,0.5893200635910034,0.1695166975259781,0.0710468515753746,11
axis_plus_toric_residual_R1,oblique_residual,33,48,-0.6835668087005615,0.5893200635910034,0.1695166975259781,0.0710468515753746,11
axis_plus_toric_residual_R1,oblique_residual,55,48,-0.6835668087005615,0.5893200635910034,0.1695166975259781,0.0710468515753746,21
axis_plus_toric_residual_R1,oblique_residual,110,48,-0.6220234036445618,0.5779761672019958,0.43845057487487793,0.12950463593006134,81
axis_plus_toric_residual_R1,oblique_residual,225,48,-0.5687606334686279,0.5763271450996399,0.6625556945800781,0.11601679027080536,191
axis_plus_toric_residual_R2,axis_plus_residual,5,48,0.8205525279045105,0.1193949431180954,0.24901366233825684,0.08885236084461212,19
axis_plus_toric_residual_R2,axis_plus_residual,15,48,0.8205525279045105,0.1193949431180954,0.24901366233825684,0.08885236084461212,19
axis_plus_toric_residual_R2,axis_plus_residual,33,48,0.8205525279045105,0.1193949431180954,0.24901366233825684,0.08885236084461212,19
axis_plus_toric_residual_R2,axis_plus_residual,55,48,0.8205525279045105,0.1193949431180954,0.24901366233825684,0.08885236084461212,19
axis_plus_toric_residual_R2,axis_plus_residual,110,48,0.8589010834693909,0.10315059125423431,0.41676580905914307,0.13322944939136505,73
axis_plus_toric_residual_R2,axis_plus_residual,225,48,0.9059133529663086,0.07935639470815659,0.6203424334526062,0.13160982728004456,181
axis_plus_toric_residual_R2,full_table,5,48,0.5799524188041687,0.1861417591571808,nan,nan,19
axis_plus_toric_residual_R2,full_table,15,48,0.5799524188041687,0.1861417591571808,nan,nan,19
axis_plus_toric_residual_R2,full_table,33,48,0.5799524188041687,0.1861417591571808,nan,nan,19
axis_plus_toric_residual_R2,full_table,55,48,0.5799524188041687,0.1861417591571808,nan,nan,19
axis_plus_toric_residual_R2,full_table,110,48,0.7125012874603271,0.15040932595729828,nan,nan,73
axis_plus_toric_residual_R2,full_table,225,48,0.8454103469848633,0.1111694723367691,nan,nan,181
axis_plus_toric_residual_R2,oblique_residual,5,48,-0.6542369723320007,0.5876752734184265,0.24901366233825684,0.08885236084461212,19
axis_plus_toric_residual_R2,oblique_residual,15,48,-0.6542369723320007,0.5876752734184265,0.24901366233825684,0.08885236084461212,19
axis_plus_toric_residual_R2,oblique_residual,33,48,-0.6542369723320007,0.5876752734184265,0.24901366233825684,0.08885236084461212,19
axis_plus_toric_residual_R2,oblique_residual,55,48,-0.6542369723320007,0.5876752734184265,0.24901366233825684,0.08885236084461212,19
axis_plus_toric_residual_R2,oblique_residual,110,48,-0.6233729720115662,0.5859932899475098,0.41676580905914307,0.13322944939136505,73
axis_plus_toric_residual_R2,oblique_residual,225,48,-0.5755323767662048,0.5770406723022461,0.6203424334526062,0.13160982728004456,181
fixed_toric_PJ_R2,axis_plus_residual,5,48,0.8775610327720642,0.09675917774438858,0.49335336685180664,0.16402778029441833,55
fixed_toric_PJ_R2,axis_plus_residual,15,48,0.8775610327720642,0.09675917774438858,0.49335336685180664,0.16402778029441833,55
fixed_toric_PJ_R2,axis_plus_residual,33,48,0.8775610327720642,0.09675917774438858,0.49335336685180664,0.16402778029441833,55
fixed_toric_PJ_R2,axis_plus_residual,55,48,0.8775610327720642,0.09675917774438858,0.49335336685180664,0.16402778029441833,55
fixed_toric_PJ_R2,axis_plus_residual,110,48,0.8775610327720642,0.09675917774438858,0.49335336685180664,0.16402778029441833,55
fixed_toric_PJ_R2,axis_plus_residual,225,48,0.8775610327720642,0.09675917774438858,0.49335336685180664,0.16402778029441833,55
fixed_toric_PJ_R2,full_table,5,48,0.6540752649307251,0.11631612479686737,nan,nan,55
fixed_toric_PJ_R2,full_table,15,48,0.6540752649307251,0.11631612479686737,nan,nan,55
fixed_toric_PJ_R2,full_table,33,48,0.6540752649307251,0.11631612479686737,nan,nan,55
fixed_toric_PJ_R2,full_table,55,48,0.6540752649307251,0.11631612479686737,nan,nan,55
fixed_toric_PJ_R2,full_table,110,48,0.6540752649307251,0.11631612479686737,nan,nan,55
fixed_toric_PJ_R2,full_table,225,48,0.6540752649307251,0.11631612479686737,nan,nan,55
fixed_toric_PJ_R2,oblique_residual,5,48,-0.5964127779006958,0.5788483619689941,0.49335336685180664,0.16402778029441833,55
fixed_toric_PJ_R2,oblique_residual,15,48,-0.5964127779006958,0.5788483619689941,0.49335336685180664,0.16402778029441833,55
fixed_toric_PJ_R2,oblique_residual,33,48,-0.5964127779006958,0.5788483619689941,0.49335336685180664,0.16402778029441833,55
fixed_toric_PJ_R2,oblique_residual,55,48,-0.5964127779006958,0.5788483619689941,0.49335336685180664,0.16402778029441833,55
fixed_toric_PJ_R2,oblique_residual,110,48,-0.5964127779006958,0.5788483619689941,0.49335336685180664,0.16402778029441833,55
fixed_toric_PJ_R2,oblique_residual,225,48,-0.5964127779006958,0.5788483619689941,0.49335336685180664,0.16402778029441833,55
pruned_toric_PJ,axis_plus_residual,5,48,0.8557217121124268,0.09710218757390976,0.3836333751678467,0.14926844835281372,33
pruned_toric_PJ,axis_plus_residual,15,48,0.8557217121124268,0.09710218757390976,0.3836333751678467,0.14926844835281372,33
pruned_toric_PJ,axis_plus_residual,33,48,0.8557217121124268,0.09710218757390976,0.3836333751678467,0.14926844835281372,33
pruned_toric_PJ,axis_plus_residual,55,48,0.8557217121124268,0.09710218757390976,0.3836333751678467,0.14926844835281372,33
pruned_toric_PJ,axis_plus_residual,110,48,0.8557217121124268,0.09710218757390976,0.3836333751678467,0.14926844835281372,33
pruned_toric_PJ,axis_plus_residual,225,48,0.8557217121124268,0.09710218757390976,0.3836333751678467,0.14926844835281372,33
