variant,fit_target,feature_budget,n,table_fit_r2_mean,table_fit_r2_std,residual_fit_r2_mean,residual_fit_r2_std,num_features
pruned_toric_PJ,full_table,5,48,0.5224045515060425,0.11738656461238861,nan,nan,33
pruned_toric_PJ,full_table,15,48,0.5224045515060425,0.11738656461238861,nan,nan,33
pruned_toric_PJ,full_table,33,48,0.5224045515060425,0.11738656461238861,nan,nan,33
pruned_toric_PJ,full_table,55,48,0.5224045515060425,0.11738656461238861,nan,nan,33
pruned_toric_PJ,full_table,110,48,0.5224045515060425,0.11738656461238861,nan,nan,33
pruned_toric_PJ,full_table,225,48,0.5224045515060425,0.11738656461238861,nan,nan,33
pruned_toric_PJ,oblique_residual,5,48,-0.6122305989265442,0.5697621703147888,0.3836333751678467,0.14926844835281372,33
pruned_toric_PJ,oblique_residual,15,48,-0.6122305989265442,0.5697621703147888,0.3836333751678467,0.14926844835281372,33
pruned_toric_PJ,oblique_residual,33,48,-0.6122305989265442,0.5697621703147888,0.3836333751678467,0.14926844835281372,33
pruned_toric_PJ,oblique_residual,55,48,-0.6122305989265442,0.5697621703147888,0.3836333751678467,0.14926844835281372,33
pruned_toric_PJ,oblique_residual,110,48,-0.6122305989265442,0.5697621703147888,0.3836333751678467,0.14926844835281372,33
pruned_toric_PJ,oblique_residual,225,48,-0.6122305989265442,0.5697621703147888,0.3836333751678467,0.14926844835281372,33
random_spectral_atoms_matched_radius,axis_plus_residual,5,48,0.7825319170951843,0.13088585436344147,0.06702370196580887,0.06345509737730026,5
random_spectral_atoms_matched_radius,axis_plus_residual,15,48,0.8126021027565002,0.11540702730417252,0.18017007410526276,0.11215284466743469,15
random_spectral_atoms_matched_radius,axis_plus_residual,33,48,0.8417181968688965,0.0989764854311943,0.3129725456237793,0.10665708035230637,33
random_spectral_atoms_matched_radius,axis_plus_residual,55,48,0.8507788777351379,0.09983242303133011,0.361709326505661,0.11032109707593918,55
random_spectral_atoms_matched_radius,axis_plus_residual,110,48,0.8866353631019592,0.07333806902170181,0.5186720490455627,0.08578598499298096,109
random_spectral_atoms_matched_radius,axis_plus_residual,225,48,0.915354311466217,0.07192008942365646,0.649387776851654,0.11530394107103348,225
random_spectral_atoms_matched_radius,full_table,5,48,0.1251341551542282,0.1815415918827057,nan,nan,5
random_spectral_atoms_matched_radius,full_table,15,48,0.29707127809524536,0.23138952255249023,nan,nan,15
random_spectral_atoms_matched_radius,full_table,33,48,0.394375205039978,0.2311507612466812,nan,nan,33
random_spectral_atoms_matched_radius,full_table,55,48,0.49150970578193665,0.23871466517448425,nan,nan,55
random_spectral_atoms_matched_radius,full_table,110,48,0.5497992038726807,0.24193164706230164,nan,nan,109
random_spectral_atoms_matched_radius,full_table,225,48,0.7318891882896423,0.21859480440616608,nan,nan,225
random_spectral_atoms_matched_radius,oblique_residual,5,48,-0.6981978416442871,0.5805536508560181,0.06702370196580887,0.06345509737730026,5
random_spectral_atoms_matched_radius,oblique_residual,15,48,-0.668127715587616,0.5801636576652527,0.18017007410526276,0.11215284466743469,15
random_spectral_atoms_matched_radius,oblique_residual,33,48,-0.639011561870575,0.5797457098960876,0.3129725456237793,0.10665708035230637,33
random_spectral_atoms_matched_radius,oblique_residual,55,48,-0.6299509406089783,0.5710442066192627,0.361709326505661,0.11032109707593918,55
random_spectral_atoms_matched_radius,oblique_residual,110,48,-0.594094455242157,0.5706736445426941,0.5186720490455627,0.08578598499298096,109
random_spectral_atoms_matched_radius,oblique_residual,225,48,-0.5653754472732544,0.5660103559494019,0.649387776851654,0.11530394107103348,225
table_informed_toric_PJ_R0,axis_plus_residual,5,48,0.7936626076698303,0.1274009644985199,0.11782822012901306,0.05415274202823639,5
table_informed_toric_PJ_R0,axis_plus_residual,15,48,0.8420186042785645,0.10323208570480347,0.3235481083393097,0.10219566524028778,15
table_informed_toric_PJ_R0,axis_plus_residual,33,48,0.8723311424255371,0.08732384443283081,0.4559697210788727,0.10074350982904434,33
table_informed_toric_PJ_R0,axis_plus_residual,55,48,0.900618851184845,0.07269987463951111,0.5820559859275818,0.09117431193590164,55
table_informed_toric_PJ_R0,axis_plus_residual,110,48,0.9390003085136414,0.049099307507276535,0.7483962178230286,0.0670173317193985,109
table_informed_toric_PJ_R0,axis_plus_residual,225,48,0.9825323224067688,0.015448127873241901,0.9284464716911316,0.0261574387550354,225
table_informed_toric_PJ_R0,full_table,5,48,0.4255983531475067,0.18433235585689545,nan,nan,5
table_informed_toric_PJ_R0,full_table,15,48,0.651634156703949,0.14630290865898132,nan,nan,15
table_informed_toric_PJ_R0,full_table,33,48,0.7610083222389221,0.1200605258345604,nan,nan,33
table_informed_toric_PJ_R0,full_table,55,48,0.8371003270149231,0.09469657391309738,nan,nan,55
table_informed_toric_PJ_R0,full_table,110,48,0.9044919610023499,0.06640113145112991,nan,nan,109
table_informed_toric_PJ_R0,full_table,225,48,0.9676787853240967,0.025755900889635086,nan,nan,225
table_informed_toric_PJ_R0,oblique_residual,5,48,-0.6870670914649963,0.5802201628684998,0.11782822012901306,0.05415274202823639,5
table_informed_toric_PJ_R0,oblique_residual,15,48,-0.6387110948562622,0.5742587447166443,0.3235481083393097,0.10219566524028778,15
table_informed_toric_PJ_R0,oblique_residual,33,48,-0.6083986163139343,0.572176456451416,0.4559697210788727,0.10074350982904434,33
table_informed_toric_PJ_R0,oblique_residual,55,48,-0.5801108479499817,0.5718902349472046,0.5820559859275818,0.09117431193590164,55
table_informed_toric_PJ_R0,oblique_residual,110,48,-0.5417295098304749,0.5704382061958313,0.7483962178230286,0.0670173317193985,109
table_informed_toric_PJ_R0,oblique_residual,225,48,-0.4981973469257355,0.5662572383880615,0.9284464716911316,0.0261574387550354,225
table_informed_toric_PJ_R1,axis_plus_residual,5,48,0.8049874901771545,0.12321427464485168,0.1695166975259781,0.0710468515753746,11
table_informed_toric_PJ_R1,axis_plus_residual,15,48,0.8049874901771545,0.12321427464485168,0.1695166975259781,0.0710468515753746,11
table_informed_toric_PJ_R1,axis_plus_residual,33,48,0.8314204812049866,0.11257057636976242,0.28605854511260986,0.11011292040348053,31
table_informed_toric_PJ_R1,axis_plus_residual,55,48,0.8508380055427551,0.10340119153261185,0.37278130650520325,0.12065887451171875,51
table_informed_toric_PJ_R1,axis_plus_residual,110,48,0.876659631729126,0.09329494088888168,0.48913800716400146,0.12800195813179016,101
table_informed_toric_PJ_R1,axis_plus_residual,225,48,0.9208990931510925,0.0719941109418869,0.687892735004425,0.11059358716011047,221
table_informed_toric_PJ_R1,full_table,5,48,0.5027515888214111,0.18108025193214417,nan,nan,11
table_informed_toric_PJ_R1,full_table,15,48,0.5027515888214111,0.18108025193214417,nan,nan,11
table_informed_toric_PJ_R1,full_table,33,48,0.6338481307029724,0.16776667535305023,nan,nan,31
table_informed_toric_PJ_R1,full_table,55,48,0.7107664942741394,0.15004399418830872,nan,nan,51
table_informed_toric_PJ_R1,full_table,110,48,0.7831379771232605,0.12848618626594543,nan,nan,101
table_informed_toric_PJ_R1,full_table,225,48,0.8769469261169434,0.0856671929359436,nan,nan,221
table_informed_toric_PJ_R1,oblique_residual,5,48,-0.6835668087005615,0.5893200635910034,0.1695166975259781,0.0710468515753746,11
table_informed_toric_PJ_R1,oblique_residual,15,48,-0.6835668087005615,0.5893200635910034,0.1695166975259781,0.0710468515753746,11
table_informed_toric_PJ_R1,oblique_residual,33,48,-0.6633976697921753,0.587745189666748,0.28605854511260986,0.11011292040348053,31
table_informed_toric_PJ_R1,oblique_residual,55,48,-0.6327282786369324,0.5801956653594971,0.37278130650520325,0.12065887451171875,51
table_informed_toric_PJ_R1,oblique_residual,110,48,-0.606270968914032,0.5788488388061523,0.48913800716400146,0.12800195813179016,101
table_informed_toric_PJ_R1,oblique_residual,225,48,-0.5636300444602966,0.5757241249084473,0.687892735004425,0.11059358716011047,221
table_informed_toric_PJ_R2,axis_plus_residual,5,48,0.8205525279045105,0.1193949431180954,0.24901366233825684,0.08885236084461212,19
table_informed_toric_PJ_R2,axis_plus_residual,15,48,0.8205525279045105,0.1193949431180954,0.24901366233825684,0.08885236084461212,19
table_informed_toric_PJ_R2,axis_plus_residual,33,48,0.8205525279045105,0.1193949431180954,0.24901366233825684,0.08885236084461212,19
table_informed_toric_PJ_R2,axis_plus_residual,55,48,0.8589000701904297,0.10314987599849701,0.41675546765327454,0.13323815166950226,55
table_informed_toric_PJ_R2,axis_plus_residual,110,48,0.8798364996910095,0.09331812709569931,0.5078848600387573,0.1402393877506256,109
table_informed_toric_PJ_R2,axis_plus_residual,225,48,0.9162998199462891,0.07375780493021011,0.6670882701873779,0.11993344128131866,217
table_informed_toric_PJ_R2,full_table,5,48,0.5799524188041687,0.1861417591571808,nan,nan,19
table_informed_toric_PJ_R2,full_table,15,48,0.5799524188041687,0.1861417591571808,nan,nan,19
table_informed_toric_PJ_R2,full_table,33,48,0.5799524188041687,0.1861417591571808,nan,nan,19
table_informed_toric_PJ_R2,full_table,55,48,0.7122727036476135,0.15090900659561157,nan,nan,55
table_informed_toric_PJ_R2,full_table,110,48,0.7836831212043762,0.12913154065608978,nan,nan,109
table_informed_toric_PJ_R2,full_table,225,48,0.8635707497596741,0.10046502202749252,nan,nan,217
table_informed_toric_PJ_R2,oblique_residual,5,48,-0.6542369723320007,0.5876752734184265,0.24901366233825684,0.08885236084461212,19
table_informed_toric_PJ_R2,oblique_residual,15,48,-0.6542369723320007,0.5876752734184265,0.24901366233825684,0.08885236084461212,19
table_informed_toric_PJ_R2,oblique_residual,33,48,-0.6542369723320007,0.5876752734184265,0.24901366233825684,0.08885236084461212,19
table_informed_toric_PJ_R2,oblique_residual,55,48,-0.6233721971511841,0.5859941244125366,0.41675546765327454,0.13323815166950226,55
table_informed_toric_PJ_R2,oblique_residual,110,48,-0.6046048998832703,0.5772650241851807,0.5078848600387573,0.1402393877506256,109
table_informed_toric_PJ_R2,oblique_residual,225,48,-0.5662452578544617,0.5783801078796387,0.6670882701873779,0.11993344128131866,217
topk_dct,axis_plus_residual,5,48,0.8654606938362122,0.0971999242901802,0.43170061707496643,0.1251843124628067,6
topk_dct,axis_plus_residual,15,48,0.9176799654960632,0.07123944163322449,0.6634547710418701,0.11092491447925568,16
topk_dct,axis_plus_residual,33,48,0.9588221907615662,0.041168007999658585,0.8347705006599426,0.07967895269393921,34
topk_dct,axis_plus_residual,55,48,0.9807894229888916,0.0222595427185297,0.9237604141235352,0.04607350006699562,56
topk_dct,axis_plus_residual,110,48,0.9969025254249573,0.004400099627673626,0.9881067872047424,0.0077322665601968765,111
topk_dct,axis_plus_residual,225,48,1.0,0.0,1.0,0.0,226
topk_dct,full_table,5,48,0.6955389976501465,0.1380445957183838,nan,nan,6
topk_dct,full_table,15,48,0.8472471237182617,0.09339694678783417,nan,nan,16
topk_dct,full_table,33,48,0.9256854057312012,0.056626684963703156,nan,nan,34
topk_dct,full_table,55,48,0.9646439552307129,0.031633734703063965,nan,nan,56
topk_dct,full_table,110,48,0.9932810664176941,0.008052135817706585,nan,nan,111
topk_dct,full_table,225,48,1.0,0.0,nan,nan,226
topk_dct,oblique_residual,5,48,-0.615269124507904,0.5718635320663452,0.43170061707496643,0.1251843124628067,6
topk_dct,oblique_residual,15,48,-0.5630499124526978,0.5686498880386353,0.6634547710418701,0.11092491447925568,16
topk_dct,oblique_residual,33,48,-0.5219075083732605,0.5647606253623962,0.8347705006599426,0.07967895269393921,34
topk_dct,oblique_residual,55,48,-0.49994054436683655,0.5635874271392822,0.9237604141235352,0.04607350006699562,56
topk_dct,oblique_residual,110,48,-0.4838273227214813,0.5639917850494385,0.9881067872047424,0.0077322665601968765,111
topk_dct,oblique_residual,225,48,-0.4807298183441162,0.564057469367981,1.0,0.0,226
topk_dft,axis_plus_residual,5,48,0.7936626076698303,0.1274009644985199,0.11782822012901306,0.05415274202823639,5
topk_dft,axis_plus_residual,15,48,0.8420186042785645,0.10323208570480347,0.3235481083393097,0.10219566524028778,15
topk_dft,axis_plus_residual,33,48,0.8723311424255371,0.08732384443283081,0.4559697210788727,0.10074350982904434,33
topk_dft,axis_plus_residual,55,48,0.900618851184845,0.07269987463951111,0.5820559859275818,0.09117431193590164,55
topk_dft,axis_plus_residual,110,48,0.9390003085136414,0.049099307507276535,0.7483962178230286,0.0670173317193985,109
topk_dft,axis_plus_residual,225,48,0.9825323224067688,0.015448127873241901,0.9284464716911316,0.0261574387550354,225
topk_dft,full_table,5,48,0.4255983531475067,0.18433235585689545,nan,nan,5
topk_dft,full_table,15,48,0.651634156703949,0.14630290865898132,nan,nan,15
topk_dft,full_table,33,48,0.7610083222389221,0.1200605258345604,nan,nan,33
topk_dft,full_table,55,48,0.8371003270149231,0.09469657391309738,nan,nan,55
topk_dft,full_table,110,48,0.9044919610023499,0.06640113145112991,nan,nan,109
topk_dft,full_table,225,48,0.9676787853240967,0.025755900889635086,nan,nan,225
topk_dft,oblique_residual,5,48,-0.6870670914649963,0.5802201628684998,0.11782822012901306,0.05415274202823639,5
topk_dft,oblique_residual,15,48,-0.6387110948562622,0.5742587447166443,0.3235481083393097,0.10219566524028778,15
topk_dft,oblique_residual,33,48,-0.6083986163139343,0.572176456451416,0.4559697210788727,0.10074350982904434,33
topk_dft,oblique_residual,55,48,-0.5801108479499817,0.5718902349472046,0.5820559859275818,0.09117431193590164,55
topk_dft,oblique_residual,110,48,-0.5417295098304749,0.5704382061958313,0.7483962178230286,0.0670173317193985,109
topk_dft,oblique_residual,225,48,-0.4981973469257355,0.5662572383880615,0.9284464716911316,0.0261574387550354,225
windowed_topk_dft,axis_plus_residual,5,48,0.7824640274047852,0.12757977843284607,0.05844373628497124,0.06821532547473907,5
windowed_topk_dft,axis_plus_residual,15,48,0.8090812563896179,0.10976097732782364,0.15566271543502808,0.1315268874168396,15
windowed_topk_dft,axis_plus_residual,33,48,0.8312292695045471,0.09219692647457123,0.23764534294605255,0.14787763357162476,33
windowed_topk_dft,axis_plus_residual,55,48,0.8566614985466003,0.07471339404582977,0.3430141508579254,0.16160176694393158,55
windowed_topk_dft,axis_plus_residual,110,48,0.8939781188964844,0.05359403043985367,0.5005811452865601,0.16476579010486603,109
windowed_topk_dft,axis_plus_residual,225,48,0.9489619135856628,0.024497980251908302,0.7497649192810059,0.10206950455904007,225
windowed_topk_dft,full_table,5,48,0.38781818747520447,0.22955527901649475,nan,nan,5
windowed_topk_dft,full_table,15,48,0.5283327698707581,0.20474489033222198,nan,nan,15
windowed_topk_dft,full_table,33,48,0.645814061164856,0.14791002869606018,nan,nan,33
windowed_topk_dft,full_table,55,48,0.7355375289916992,0.13136574625968933,nan,nan,55
windowed_topk_dft,full_table,110,48,0.8068766593933105,0.10810497403144836,nan,nan,109
windowed_topk_dft,full_table,225,48,0.9018930792808533,0.06535228341817856,nan,nan,225
windowed_topk_dft,oblique_residual,5,48,-0.698265790939331,0.5787392258644104,0.05844373628497124,0.06821532547473907,5
windowed_topk_dft,oblique_residual,15,48,-0.6716487407684326,0.5680586099624634,0.15566271543502808,0.1315268874168396,15
windowed_topk_dft,oblique_residual,33,48,-0.6495004892349243,0.5601087808609009,0.23764534294605255,0.14787763357162476,33
windowed_topk_dft,oblique_residual,55,48,-0.6240683197975159,0.560541570186615,0.3430141508579254,0.16160176694393158,55
windowed_topk_dft,oblique_residual,110,48,-0.5867516994476318,0.5604743361473083,0.5005811452865601,0.16476579010486603,109
windowed_topk_dft,oblique_residual,225,48,-0.5317679047584534,0.5614740252494812,0.7497649192810059,0.10206950455904007,225
